plot,count
4,0
5,1
6,6
7,5
8,2
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,5
18,16
19,3
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,6
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,2
38,1
39,0
40,0
41,3
42,0
43,3
44,0
45,1
46,0
47,0
48,2
49,4
50,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
1,3
2,1
3,0
4,0
5,2
6,12
7,3
8,11
9,1
10,3
11,2
12,2
13,21
14,2
15,3
16,0
17,9
18,32
19,1
20,1
21,2
22,0
23,7
24,0
25,5
26,0
27,1
28,5
29,6
30,22
31,8
32,16
33,10
34,2
35,1
36,1
37,2
38,2
39,5
40,14
41,12
42,0
43,17
44,3
45,0
46,13
47,0
48,8
49,0
50,7
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,1
1,4
2,0
3,0
4,1
5,1
6,0
7,2
8,0
9,2
10,0
11,0
12,0
13,0
14,24
15,0
16,1
17,7
18,8
19,5
20,0
21,0
22,0
23,0
24,0
25,0
26,47
27,1
28,0
29,0
30,29
31,0
32,0
33,0
34,0
35,8
36,0
37,4
38,0
39,0
40,11
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,8
50,0
1,1
2,0
3,7
4,1
5,2
6,10
7,33
8,0
9,0
11,0
12,53
13,15
14,2
15,0
16,0
17,6
18,0
19,7
21,1
22,4
23,1
24,12
25,9
26,0
27,28
28,0
29,0
31,0
32,4
33,27
34,26
35,0
36,4
37,0
38,8
39,14
41,35
42,0
43,8
44,20
45,0
46,3
47,34
48,30
49,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,2
15,3
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,8
30,0
31,1
32,1
33,0
34,0
35,2
36,0
37,0
38,0
39,0
40,16
41,0
42,0
43,0
44,3
45,2
1,3
2,3
3,0
4,9
5,7
6,3
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,2
15,3
16,0
17,1
18,2
19,0
20,2
21,0
22,0
23,1
24,3
25,2
26,3
27,0
28,5
29,0
30,0
31,0
32,0
33,0
34,7
35,3
36,2
37,0
38,0
39,2
40,0
41,3
42,0
43,2
44,0
45,0
46,9
47,0
48,0
49,3
50,1
2,0
3,2
4,10
5,4
6,2
7,0
8,0
9,5
10,2
12,0
13,4
14,5
15,0
16,2
17,0
18,4
19,1
20,0
22,5
23,2
24,0
25,12
26,12
27,0
28,0
29,5
30,1
32,0
33,0
34,19
35,9
36,2
37,13
38,1
39,1
40,0
42,1
43,0
44,18
45,0
46,4
47,4
48,0
49,1
50,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
23,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,8
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,0
1,0
2,0
3,4
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,5
34,1
35,1
36,0
37,4
38,6
39,2
40,1
41,1
42,0
43,2
44,0
45,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,11
43,0
44,0
45,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4
9,47
10,0
11,0
12,0
13,0
14,0
15,0
16,27
17,22
18,13
19,0
20,0
21,0
22,0
23,0
24,0
25,2
26,2
27,1
28,19
29,0
30,0
31,0
32,0
33,9
34,1
35,121
36,1
37,0
38,6
39,4
40,0
41,0
42,0
43,0
44,11
45,3
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,2
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,7
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,2
39,5
40,0
41,0
42,0
43,0
44,0
45,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
17,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
1,0
2,1
3,0
4,0
5,0
6,32
7,4
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,2
16,0
17,4
18,0
19,1
20,0
21,0
22,6
23,0
24,4
25,20
26,1
27,0
28,0
29,0
30,0
31,1
32,5
33,3
34,0
35,9
36,7
37,0
38,0
39,1
40,5
41,0
42,0
43,0
44,0
45,2
1,0
2,0
3,2
4,1
5,2
6,0
7,0
8,1
9,6
10,1
11,0
12,4
13,4
14,0
15,0
16,4
17,1
18,0
19,4
20,2
21,5
22,0
